trace1;I n;I x;I y
trace1;153;59;94
trace1;236;115;121
trace1;154;3;151
trace1;184;58;126
trace1;236;46;190
trace1;181;7;174
trace1;192;8;184
trace1;143;7;136
trace1;130;55;75
trace1;150;93;57
trace1;224;16;208
trace1;202;97;105
trace1;220;38;182
trace1;159;72;87
trace1;132;107;25
trace1;172;11;161
trace1;198;73;125
trace1;132;68;64
trace1;226;72;154
trace1;173;119;54
trace1;167;11;156
trace1;194;47;147
trace1;195;91;104
trace1;187;86;101
trace1;139;92;47
trace1;153;26;127
trace1;248;110;138
trace1;200;100;100
trace1;224;50;174
trace1;203;95;108
trace1;156;82;74
trace1;187;88;99
trace1;246;106;140
trace1;214;13;201
trace1;132;75;57
trace1;156;4;152
trace1;131;61;70
trace1;235;69;166
trace1;131;53;78
trace1;130;21;109
trace1;248;0;248
trace1;121;75;46
trace1;120;67;53
trace1;186;25;161
trace1;180;23;157
trace1;199;32;167
trace1;157;77;80
trace1;200;42;158
trace1;146;66;80
trace1;129;14;115
trace1;172;75;97
trace1;160;17;143
trace1;234;61;173
trace1;174;8;166
trace1;237;55;182
trace1;165;5;160
trace1;178;116;62
trace1;243;71;172
trace1;142;73;69
trace1;122;67;55
trace1;178;95;83
trace1;210;39;171
trace1;194;35;159
trace1;205;110;95
trace1;194;96;98
trace1;149;38;111
trace1;135;47;88
trace1;143;20;123
trace1;176;109;67
trace1;139;73;66
trace1;188;57;131
trace1;210;66;144
trace1;213;86;127
trace1;249;40;209
trace1;131;39;92
trace1;200;75;125
trace1;245;55;190
trace1;247;25;222
trace1;197;116;81
trace1;172;7;165
trace1;182;81;101
trace1;142;30;112
trace1;144;73;71
trace1;209;35;174
trace1;198;84;114
trace1;206;47;159
trace1;169;88;81
trace1;256;51;205
trace1;151;50;101
trace1;244;84;160
trace1;241;118;123
trace1;249;6;243
trace1;182;70;112
trace1;131;21;110
trace1;251;64;187
trace1;199;88;111
trace1;165;76;89
trace1;183;92;91
trace1;154;105;49
trace1;158;55;103
